Número de Consulta,Tiempo de Respuesta (s),Uso de CPU (%),Uso de Memoria (%)
1,0.004033088684082031,2.3,90.2
2,0.0,2.3,90.2
3,0.0,2.3,90.2
4,0.0,2.3,90.2
5,0.0,2.3,90.2
6,0.0,1.0,89.9
7,0.0,1.0,89.9
8,0.0,1.0,89.9
9,0.0,1.0,89.9
10,0.0010151863098144531,1.0,89.9
11,0.004044294357299805,6.0,89.8
12,0.0,6.0,89.8
13,0.0,6.0,89.8
14,0.0015497207641601562,6.1,89.8
15,0.0,6.0,89.8
16,0.0,9.1,90.4
17,0.0010199546813964844,9.2,90.4
18,0.0,9.1,90.4
19,0.0,9.1,90.4
20,0.0,9.1,90.4
21,0.0,4.1,90.1
22,0.0,4.1,90.1
23,0.0,4.1,90.1
24,0.0,4.3,90.1
25,0.0,4.3,90.1
26,0.0,2.5,90.3
27,0.0,2.5,90.3
28,0.0,2.5,90.3
29,0.0015223026275634766,2.6,90.3
30,0.0,2.5,90.3
31,0.0,7.8,91.6
32,0.0,7.9,91.6
33,0.0007481575012207031,7.9,91.6
34,0.0,7.9,91.6
35,0.0005609989166259766,7.8,91.6
36,0.00029921531677246094,4.3,91.6
37,0.0010075569152832031,4.3,91.6
38,0.0,4.3,91.6
39,0.0,4.3,91.6
40,0.0010106563568115234,4.3,91.6
41,0.0,12.3,91.3
42,0.0010056495666503906,12.1,91.3
43,0.0009961128234863281,12.3,91.3
44,0.0010085105895996094,12.3,91.3
45,0.0014095306396484375,12.3,91.3
46,0.0,18.5,91.3
47,0.0011379718780517578,18.5,91.3
48,0.0019979476928710938,18.5,91.3
49,0.0010006427764892578,18.7,91.3
50,0.000997781753540039,18.8,91.3
51,0.0009088516235351562,16.8,91.3
52,0.0,16.8,91.3
53,0.0009951591491699219,17.0,91.2
54,0.0,17.7,91.3
55,0.0009958744049072266,17.7,91.2
56,0.0009984970092773438,11.5,91.6
57,0.0015077590942382812,11.7,91.5
58,0.0010008811950683594,11.7,91.5
59,0.0009984970092773438,11.7,91.5
60,0.0014476776123046875,11.7,91.5
61,0.0010118484497070312,3.3,91.4
62,0.0010097026824951172,3.3,91.4
63,0.0009968280792236328,3.3,91.4
64,0.0010437965393066406,3.3,91.4
65,0.0,3.3,91.4
66,0.0015811920166015625,1.2,91.2
67,0.0010180473327636719,1.4,91.2
68,0.0012912750244140625,1.4,91.2
69,0.0010058879852294922,1.4,91.2
70,0.001993417739868164,1.4,91.2
71,0.0009999275207519531,4.5,91.2
72,0.002025127410888672,4.7,91.2
73,0.0010020732879638672,4.7,91.2
74,0.0010013580322265625,4.9,91.2
75,0.0,4.9,91.2
76,0.0009903907775878906,3.1,91.0
77,0.001993894577026367,3.1,91.0
78,0.00205230712890625,3.3,91.0
79,0.00046443939208984375,3.3,91.0
80,0.0,3.3,91.0
81,0.0023169517517089844,2.7,91.0
82,0.0009262561798095703,2.7,91.0
83,0.001993417739868164,2.7,91.0
84,0.0,2.7,91.0
85,0.0011005401611328125,2.7,91.0
86,0.0015904903411865234,2.9,90.9
87,0.0010006427764892578,2.9,90.9
88,0.0019919872283935547,2.9,90.9
89,0.0010318756103515625,2.9,90.9
90,0.001073598861694336,2.9,90.9
91,0.0,3.9,90.9
92,0.0,3.5,90.9
93,0.0013380050659179688,3.5,90.9
94,0.0,3.5,90.9
95,0.0010046958923339844,3.3,90.9
96,0.0009968280792236328,8.9,91.5
97,0.0009119510650634766,8.8,91.5
98,0.0010437965393066406,8.4,91.5
99,0.0010213851928710938,8.4,91.5
100,0.0013227462768554688,8.4,91.5
101,0.0009207725524902344,10.9,91.5
102,0.0010027885437011719,11.3,91.6
103,0.0015861988067626953,11.3,91.6
104,0.001012563705444336,11.2,91.6
105,0.0015883445739746094,11.3,91.6
106,0.0010471343994140625,3.3,87.1
107,0.002008199691772461,3.3,87.1
108,0.00122833251953125,3.3,87.1
109,0.0010840892791748047,3.3,87.1
110,0.001028299331665039,3.3,87.1
111,0.0006158351898193359,0.8,86.8
112,0.0010657310485839844,1.0,86.8
113,0.0010004043579101562,1.0,86.8
114,0.0009887218475341797,1.0,86.8
115,0.0009634494781494141,1.0,86.8
116,0.0015087127685546875,6.4,87.0
117,0.0015473365783691406,6.4,87.0
118,0.0009465217590332031,6.2,87.0
119,0.0005903244018554688,6.2,87.0
120,0.0009984970092773438,6.2,87.0
121,0.0,3.3,87.0
122,0.0003476142883300781,3.9,87.0
123,0.0,3.9,87.0
124,0.0010113716125488281,3.9,87.0
125,0.0,4.3,87.0
126,0.0010037422180175781,7.2,87.5
127,0.000997781753540039,7.2,87.5
128,0.0,7.2,87.5
129,0.0,7.4,87.5
130,0.0,7.2,87.5
131,0.0007414817810058594,3.5,87.6
132,0.00101470947265625,3.5,87.6
133,0.0,3.5,87.6
134,0.0,3.5,87.6
135,0.0008099079132080078,3.5,87.6
136,0.0009925365447998047,2.7,87.6
137,0.001976490020751953,2.7,87.6
138,0.0021026134490966797,2.7,87.6
139,0.0009961128234863281,2.5,87.6
140,0.00101470947265625,2.5,87.6
141,0.0,5.3,87.3
142,0.0,5.7,87.3
143,0.0,5.7,87.3
144,0.0,5.7,87.3
145,0.0,5.7,87.3
146,0.0,2.3,87.1
147,0.0,2.3,87.1
148,0.003097057342529297,2.3,87.1
149,0.0,2.3,87.1
150,0.003013134002685547,2.2,87.1
