Número de Consulta,Tiempo de Respuesta (s),Uso de CPU (%),Uso de Memoria (%)
1,0.0030066967010498047,7.9,89.1
2,0.007382392883300781,7.8,89.1
3,0.00841975212097168,7.9,89.1
4,0.007382392883300781,7.9,89.1
5,0.007382392883300781,7.9,89.1
6,0.0043756961822509766,7.9,89.1
7,0.005503654479980469,7.8,89.1
8,0.009879350662231445,7.8,89.2
9,0.005503654479980469,7.8,89.2
10,0.012392282485961914,7.8,89.2
11,0.003008127212524414,3.7,89.1
12,0.002525806427001953,3.7,89.1
13,0.0,3.9,89.1
14,0.0,3.9,89.1
15,0.0006251335144042969,3.9,89.1
16,0.0,3.9,89.1
17,0.0010526180267333984,3.9,89.1
18,0.0,3.9,89.1
19,0.0,4.1,89.1
20,0.0,4.1,89.1
21,0.0005078315734863281,6.4,89.1
22,0.0,6.4,89.1
23,0.0,6.4,89.1
24,0.0,6.4,89.1
25,0.0,6.4,89.1
26,0.0,6.3,89.1
27,0.0010209083557128906,6.2,89.1
28,0.0,6.2,89.1
29,0.0,6.2,89.1
30,0.001024007797241211,6.3,89.1
31,0.0,9.8,89.1
32,0.0,9.8,89.1
33,0.0,9.7,89.1
34,0.0,9.8,89.1
35,0.0005164146423339844,9.9,89.1
36,0.0,9.8,89.1
37,0.0020208358764648438,9.0,89.1
38,0.0,9.9,89.1
39,0.0019240379333496094,9.0,89.1
40,0.001031637191772461,9.0,89.1
41,0.0010349750518798828,6.0,89.2
42,0.0,5.9,89.2
43,0.0,5.9,89.2
44,0.0,6.1,89.2
45,0.0020384788513183594,6.1,89.2
46,0.0,6.1,89.2
47,0.0005304813385009766,6.1,89.2
48,0.0,6.1,89.2
49,0.0025196075439453125,6.1,89.2
50,0.002107858657836914,6.1,89.2
51,0.0015645027160644531,11.1,89.2
52,0.003435850143432617,10.4,89.2
53,0.0,10.4,89.2
54,0.002526521682739258,10.4,89.2
55,0.0039331912994384766,10.2,89.2
56,0.0,10.2,89.2
57,0.001085519790649414,10.1,89.2
58,0.0,9.9,89.2
59,0.0028307437896728516,9.9,89.2
60,0.0,9.6,89.2
61,0.0,7.9,89.1
62,0.0,7.9,89.1
63,0.0010182857513427734,7.9,89.1
64,0.0,7.9,89.1
65,0.0,8.0,89.1
66,0.0010356903076171875,8.0,89.1
67,0.000492095947265625,8.0,89.1
68,0.002021312713623047,8.2,89.1
69,0.002157926559448242,8.2,89.1
70,0.0,8.1,89.1
71,0.0,7.6,89.1
72,0.0,7.6,89.1
73,0.000949859619140625,7.7,89.1
74,0.0,7.6,89.1
75,0.0003666877746582031,7.6,89.1
76,0.0,7.6,89.1
77,0.0,7.5,89.1
78,0.0,6.8,89.1
79,0.0,6.8,89.1
80,0.00017499923706054688,6.8,89.1
81,0.0,6.8,89.1
82,0.0,6.6,89.1
83,0.0010726451873779297,6.6,89.1
84,0.0,6.5,89.1
85,0.0,6.5,89.1
86,0.0,6.5,89.1
87,0.0,6.7,89.1
88,0.0005104541778564453,6.7,89.1
89,0.0,6.9,89.1
90,0.0010030269622802734,6.7,89.1
91,0.0,5.3,89.0
92,0.0,5.0,89.0
93,0.0,5.0,89.0
94,0.0,5.0,89.0
95,0.0,5.2,89.0
96,0.0,5.2,89.0
97,0.0010559558868408203,5.2,89.0
98,0.00151824951171875,5.2,89.0
99,0.002577543258666992,5.4,89.0
100,0.002032041549682617,5.2,89.0
101,0.003184080123901367,5.8,89.1
102,0.0,5.8,89.1
103,0.0,5.8,89.1
104,0.0,5.6,89.1
105,0.0,5.6,89.1
106,0.0,5.6,89.1
107,0.0,5.8,89.1
108,0.0,5.8,89.1
109,0.0008900165557861328,5.8,89.1
110,0.0014033317565917969,5.8,89.1
111,0.0,4.7,88.9
112,0.0,4.8,88.9
113,0.0010228157043457031,4.9,88.9
114,0.0,4.9,88.9
115,0.0015828609466552734,4.8,88.9
116,0.0015211105346679688,4.8,88.9
117,0.0023908615112304688,4.9,88.9
118,0.0,4.8,88.9
119,0.00038170814514160156,4.6,88.9
120,0.0,4.6,88.9
121,0.0028858184814453125,5.7,89.0
122,0.0030663013458251953,5.4,89.0
123,0.0030965805053710938,5.4,89.0
124,0.005772590637207031,5.4,89.0
125,0.002999544143676758,5.4,89.0
126,0.002518177032470703,5.5,89.0
127,0.00034046173095703125,5.5,89.0
128,0.0012962818145751953,5.6,89.0
129,0.0,5.6,89.0
130,0.0,5.6,89.0
131,0.0001964569091796875,7.8,88.9
132,0.0,7.8,88.9
133,0.003109455108642578,8.0,88.9
134,0.003027200698852539,8.0,88.9
135,0.004268169403076172,8.0,88.9
136,0.0022330284118652344,8.0,88.9
137,0.0,8.3,88.9
138,0.0,8.2,88.9
139,0.0010199546813964844,8.2,88.9
140,0.0,8.3,88.9
141,0.0015261173248291016,9.1,89.1
142,0.0,9.2,89.1
143,0.0,9.2,89.1
144,0.00032067298889160156,9.0,89.1
145,0.0,9.0,89.1
146,0.0,9.1,89.1
147,0.0,9.2,89.1
148,0.0,9.2,89.1
149,0.0009450912475585938,9.2,89.1
150,0.0,9.3,89.1
151,0.0011484622955322266,10.7,90.1
152,0.0,10.7,90.1
153,0.0,10.9,90.1
154,0.0021126270294189453,10.9,90.1
155,0.0,10.7,90.1
156,0.0,10.7,90.1
157,0.0010230541229248047,10.4,90.1
158,0.0,10.7,90.1
159,0.0028257369995117188,10.8,90.1
160,0.003018617630004883,10.7,90.1
161,0.001024484634399414,23.3,90.2
162,0.0,23.3,90.2
163,0.0,23.4,90.2
164,0.0010170936584472656,23.5,90.2
165,0.00019407272338867188,23.5,90.2
166,0.0,23.3,90.2
167,0.0002532005310058594,23.4,90.2
168,0.0023097991943359375,23.5,90.2
169,0.0,23.5,90.2
170,0.00036072731018066406,23.3,90.2
171,0.0027506351470947266,8.8,90.1
172,0.0,8.3,90.1
173,0.0,7.8,90.1
174,0.0005147457122802734,7.9,90.1
175,0.0,8.0,90.1
176,0.0,7.8,90.1
177,0.0,7.6,90.1
178,0.001245260238647461,7.7,90.1
179,0.0,7.8,90.1
180,0.0,7.8,90.1
181,0.002150297164916992,7.9,90.1
182,0.0015239715576171875,8.0,90.1
183,0.0,8.1,90.1
184,0.0,8.0,90.1
185,0.0,8.1,90.1
186,0.0015933513641357422,8.1,90.1
187,0.0,8.1,90.1
188,0.004033565521240234,7.7,90.1
189,0.0022661685943603516,7.7,90.1
190,0.0026569366455078125,7.7,90.1
191,0.0035283565521240234,4.5,90.0
192,0.0,4.5,90.0
193,0.0010077953338623047,4.3,90.0
194,0.002023935317993164,4.3,90.0
195,0.0,4.5,90.0
196,0.0010914802551269531,4.5,90.0
197,0.0,4.3,90.0
198,0.0,4.3,90.0
199,0.0010600090026855469,4.3,90.0
200,0.0,4.3,90.0
201,0.0015091896057128906,3.9,90.0
202,0.0,3.9,90.0
203,0.0,3.9,90.0
204,0.0010726451873779297,3.9,90.0
205,0.0,4.1,90.0
206,0.0,3.9,90.0
207,0.0,3.9,90.0
208,0.0020987987518310547,3.9,90.0
209,0.0,3.9,90.0
210,0.0,3.9,90.0
211,0.0,5.6,89.8
212,0.003523588180541992,5.6,89.8
213,0.0,5.6,89.8
214,0.0,5.8,89.9
215,0.0025565624237060547,5.8,89.9
216,0.0016307830810546875,6.0,89.9
217,0.00153350830078125,6.2,89.9
218,0.0,6.0,89.9
219,0.0,6.0,89.9
