Marca de Tiempo,Uso de CPU (%),Uso de Memoria (%),Uso de Disco (%),Red Enviada (bytes),Red Recibida (bytes)
2024-08-07 01:02:42,9.3,16.47605547985529,81.4,1311895556,1241548204
2024-08-07 01:03:04,0.0,13.900575898843988,81.4,1317745262,1241673282
2024-08-07 01:03:25,12.5,14.062648468563602,81.4,1322485515,1241779787
